GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
0400000US01,01,Alabama,4850771,*****,4652396,234,3198079,826,1280946,2090,22589,1037,62100,1296,1461,250,6988,1070,80233,2219,2660,777,77573,2272,198375,234,119623,3323,6221,686,2509,629,715,258,752,563,59954,3376,8601,1093,4984,781,3617,594
0400000US02,02,Alaska,738565,*****,688403,*****,454498,386,22534,704,101704,1358,44710,880,8784,315,1396,466,54777,1799,609,226,54168,1759,50162,*****,27473,1445,1168,257,3291,652,894,346,291,169,9109,1033,7936,766,2595,580,5341,616
0400000US04,04,Arizona,6809946,*****,4706423,*****,3786418,1010,276146,2242,266680,2234,207330,1941,12009,533,8596,1171,149244,3729,5270,854,143974,3702,2103523,*****,1491243,9439,16685,1402,33502,2048,6087,979,1355,381,465987,7985,88664,3577,43514,2069,45150,2465
0400000US05,05,Arkansas,2977944,*****,2764698,272,2174326,629,457251,1636,17002,951,41896,868,6979,601,4283,919,62961,1835,1374,382,61587,1790,213246,272,127815,3339,2718,527,2474,566,472,162,83,93,70823,3046,8861,1215,5277,963,3584,625
0400000US06,06,California,38982847,*****,23876987,*****,14777594,3202,2161459,6082,137813,2478,5427928,9020,138283,1654,93746,3805,1140164,12326,53044,2299,1087120,12337,15105860,*****,8829648,31501,101763,3878,154205,5439,75744,3370,13744,1161,5236206,37137,694550,13518,346769,8343,347781,8402
0400000US08,08,Colorado,5436519,*****,4279319,395,3731976,1143,209885,2120,28624,1077,161733,1706,7471,490,10577,1156,129053,3306,3762,462,125291,3258,1157200,395,844225,6308,11270,987,22782,1850,3038,542,1109,352,214920,5291,59856,2868,29908,2112,29948,2036
0400000US09,09,Connecticut,3594478,*****,3042562,*****,2446049,1131,350820,1829,5201,446,154910,1516,665,185,11615,1268,73302,2470,4809,825,68493,2381,551916,*****,311015,5230,25420,1790,4184,771,1540,371,266,132,172139,5096,37352,2148,20407,1862,16945,1563
0400000US10,10,Delaware,943732,*****,858939,*****,594911,348,201411,1277,2887,380,36094,654,201,84,1831,499,21604,1320,615,219,20989,1345,84793,*****,57259,1783,4879,715,595,286,459,197,264,242,16681,1683,4656,685,1899,403,2757,607
0400000US11,11,District of Columbia,672391,*****,600562,*****,241901,372,315159,826,1140,212,25063,529,241,85,2194,541,14864,904,856,238,14008,866,71829,*****,31570,1887,5903,976,617,456,495,200,48,45,28767,2074,4429,833,1809,484,2620,647
0400000US12,12,Florida,20278447,*****,15263432,*****,11124951,2910,3129406,5412,41706,1464,533524,3116,10189,950,63059,3493,360597,6809,22964,1640,337633,6542,5015015,*****,4219046,13688,141457,5816,15024,1836,9870,1092,2153,542,473239,11147,154226,5670,66936,3241,87290,3778
0400000US13,13,Georgia,10201635,*****,9251255,469,5469446,1939,3150514,4312,18199,844,386669,2809,4605,635,28662,2439,193160,5554,9394,1021,183766,5543,950380,469,592375,7893,44754,2384,12353,1857,2277,502,632,256,253908,7662,44081,2438,24298,1873,19783,1682
0400000US15,15,Hawaii,1421658,*****,1276277,*****,316047,257,23977,726,1776,246,526199,3069,131366,1820,1472,346,275440,3927,1885,321,273555,3961,145381,*****,41261,1788,1907,472,980,216,14357,1453,11234,1188,12584,1095,63058,2041,8073,798,54985,1938
0400000US16,16,Idaho,1657375,*****,1455397,*****,1368118,363,10658,648,17902,837,21937,993,1979,365,905,287,33898,1527,985,329,32913,1469,201978,*****,139762,3351,573,282,3421,713,783,284,364,178,47059,3144,10016,1152,5105,855,4911,801
0400000US17,17,Illinois,12854526,*****,10692456,230,7955484,1458,1806398,3175,14458,889,666890,2728,2979,403,19061,1543,227186,3861,11714,1272,215472,3548,2162070,231,1281217,10740,27103,1522,15238,1646,4921,689,1296,319,748084,11107,84211,3510,51390,2954,32821,2138
0400000US18,18,Indiana,6614418,*****,6172450,183,5280583,999,604249,2974,12148,696,136671,1460,1993,284,9179,1225,127627,3638,3440,551,124187,3520,441968,183,266204,3728,8811,961,2879,534,1009,312,642,288,136612,4082,25811,1429,16364,1302,9447,975
0400000US19,19,Iowa,3118102,*****,2939808,189,2697252,572,104194,1465,8641,576,70748,1051,2707,415,2775,708,53491,1799,729,225,52762,1809,178294,190,126945,2447,2568,516,2150,589,430,170,206,90,36752,2209,9243,905,4422,604,4821,731
0400000US20,20,Kansas,2903820,*****,2568960,75,2220256,633,163490,1638,19241,895,80142,1003,1685,347,2438,606,81708,1957,1139,282,80569,1911,334860,75,245262,3605,4980,696,4262,840,596,195,238,142,62815,3099,16707,1301,8166,860,8541,989
0400000US21,21,Kentucky,4424376,*****,4272304,568,3764473,876,348472,1990,8062,655,59254,1370,2049,323,4994,793,85000,2436,1842,438,83158,2506,152072,568,98127,2128,4616,611,1262,460,339,135,222,123,36203,1949,11303,976,6100,581,5203,761
0400000US22,22,Louisiana,4663461,*****,4431753,272,2752253,721,1490050,2693,24762,919,80543,964,1165,259,7817,895,75163,2983,2098,439,73065,2966,231708,272,157346,3244,10598,1201,2332,516,437,138,236,137,48399,3005,12360,1127,6788,921,5572,789
0400000US23,23,Maine,1330158,*****,1309731,*****,1244859,288,16065,612,7644,489,14653,497,232,98,794,263,25484,951,327,120,25157,939,20427,*****,14059,570,841,246,568,231,151,115,17,23,2173,398,2618,448,558,180,2060,424
